охота, рыбалка
фотоохота
горные лыжи
здоровый образ жизни
игра на ба€не
астрономи€, моделирование
рисование, лепка
дизайн помещений
веселое врем€препровождение
гонки на мотоциклах, скалолазание
прыжки с парашютом
